Date,RS3,OSRS,Total
1606815937000,22892,64880,87772
1606816237000,22866,64955,87821
1606816537000,22901,64884,87785
1606816837000,22932,64518,87450
1606817137000,22936,64535,87471
1606817437000,22893,64607,87500
1606817737000,22979,64691,87670
1606818037000,23118,64991,88109
1606818336000,23126,64962,88088
1606818637000,22701,65123,87824
1606818937000,22182,65179,87361
1606819237000,22316,65305,87621
1606819537000,22443,65181,87624
1606819837000,22578,65498,88076
1606820137000,22564,65558,88122
1606820437000,22635,65599,88234
1606820737000,22741,65764,88505
1606821037000,22910,65801,88711
1606821355000,23034,66372,89406
1606821384000,23019,66398,89417
1606821422000,22994,66493,89487
1606821448000,23017,66503,89520
1606821569000,23083,66590,89673
1606821677000,23098,66747,89845
1606821936000,23180,66801,89981
1606822237000,23303,66861,90164
1606822266000,23319,66946,90265
1606822537000,23290,67144,90434
1606822837000,23533,67737,91270
1606823137000,23498,68378,91876
1606823437000,23833,68573,92406
1606823737000,23943,68830,92773
1606824037000,23996,69078,93074
1606824337000,24081,69517,93598
1606824636000,24243,69835,94078
1606824937000,24442,70257,94699
1606825236000,24622,70900,95522
1606825537000,24831,71400,96231
1606825837000,24979,72131,97110
1606826137000,25235,72650,97885
1606826437000,25347,73402,98749
1606826737000,25452,74028,99480
1606827037000,25595,74863,100458
1606827337000,25891,75311,101202
1606827637000,26063,75624,101687
1606827937000,26242,76416,102658
1606828237000,26419,77185,103604
1606828537000,26577,77894,104471
1606828839000,26765,78646,105411
1606829137000,27080,79920,107000
1606829437000,27247,80439,107686
1606829737000,27510,81060,108570
1606830037000,27782,82110,109892
1606830337000,28068,83177,111245
1606830637000,28449,83755,112204
1606830937000,28686,84239,112925
1606831237000,28868,84743,113611
1606831537000,29129,85698,114827
1606831837000,29434,86439,115873
1606832137000,29526,87092,116618
1606832437000,29815,88042,117857
1606832737000,30088,89553,119641
1606833037000,30327,89983,120310
1606833337000,30585,90923,121508
1606833908000,30994,92606,123600
1606833937000,30929,92660,123589
1606834237000,31282,93410,124692
1606834537000,31433,94034,125467
1606834837000,31754,94662,126416
1606835137000,32189,95852,128041
1606835437000,32591,96664,129255
1606835737000,32929,97468,130397
1606836037000,33312,98178,131490
1606836637000,33902,99058,132960
1606836745000,33986,99504,133490
1606836937000,34200,99905,134105
1606837707000,34788,98920,133708
1606837982000,35083,99104,134187
